experiment_id,experiment_label,fold,train_size,valid_size,fit_seconds,accuracy,precision,recall,f1,f1_class_0,f1_class_1,roc_auc
path_c,Caminho C - Naive Bayes Gaussiano,1,7823,870,3.9264072139994823,0.5494252873563218,0.5389830508474577,0.726027397260274,0.6186770428015564,0.449438202247191,0.6186770428015564,0.5454612717740572
path_c,Caminho C - Naive Bayes Gaussiano,2,7823,870,3.1893342529983784,0.5011494252873563,0.5033222591362126,0.6917808219178082,0.5826923076923077,0.38,0.5826923076923077,0.5014930027059022
path_c,Caminho C - Naive Bayes Gaussiano,3,7823,870,3.0212272639982984,0.532183908045977,0.5244865718799369,0.7579908675799086,0.6199813258636788,0.39162929745889385,0.6199813258636788,0.5303541983764587
path_c,Caminho C - Naive Bayes Gaussiano,4,7824,869,2.9412248650005495,0.5178365937859609,0.5145631067961165,0.7276887871853547,0.6028436018957346,0.38653001464128844,0.6028436018957346,0.5150939698279515
path_c,Caminho C - Naive Bayes Gaussiano,5,7824,869,3.0206279560006806,0.5178365937859609,0.5144694533762058,0.7322654462242563,0.6043437204910292,0.38291605301914583,0.6043437204910292,0.5216808627849818
path_c,Caminho C - Naive Bayes Gaussiano,6,7824,869,2.9578800549970765,0.5408515535097813,0.5307086614173229,0.769406392694064,0.6281453867660765,0.4,0.6281453867660765,0.5361006049433726
path_c,Caminho C - Naive Bayes Gaussiano,7,7824,869,3.007402949999232,0.5316455696202531,0.5248,0.7488584474885844,0.6171213546566322,0.397037037037037,0.6171213546566322,0.5307530538516141
path_c,Caminho C - Naive Bayes Gaussiano,8,7824,869,2.8421703679996426,0.5270425776754891,0.5220949263502455,0.728310502283105,0.6081982840800763,0.4034833091436865,0.6081982840800763,0.5333857758849019
path_c,Caminho C - Naive Bayes Gaussiano,9,7824,869,2.929884844001208,0.5040276179516686,0.5058236272878536,0.6940639269406392,0.5851780558229066,0.3834048640915594,0.5851780558229066,0.5045900475691023
path_c,Caminho C - Naive Bayes Gaussiano,10,7824,869,2.803942980001011,0.520138089758343,0.5168,0.7374429223744292,0.6077140169332079,0.38222222222222224,0.6077140169332079,0.5152983928211974
