experiment_id,experiment_label,fold,train_size,valid_size,fit_seconds,accuracy,precision,recall,f1,f1_class_0,f1_class_1,roc_auc
path_a,Caminho A - Árvore de Decisão,1,7823,870,2.717712424000638,0.7885057471264367,0.7822222222222223,0.8036529680365296,0.7927927927927928,0.784037558685446,0.7927927927927928,0.7884005580923388
path_a,Caminho A - Árvore de Decisão,2,7823,870,2.705009350000182,0.7885057471264367,0.7899543378995434,0.7899543378995434,0.7899543378995434,0.7870370370370371,0.7899543378995434,0.7884956874682901
path_a,Caminho A - Árvore de Decisão,3,7823,870,2.6791273729977547,0.8057471264367816,0.806378132118451,0.8082191780821918,0.8072976054732041,0.8041714947856315,0.8072976054732041,0.8057299594114663
path_a,Caminho A - Árvore de Decisão,4,7824,869,2.7810012599984475,0.7491369390103567,0.7528868360277137,0.7459954233409611,0.7494252873563219,0.7488479262672811,0.7494252873563219,0.749155119077888
path_a,Caminho A - Árvore de Decisão,5,7824,869,2.6872763219980698,0.7871116225546605,0.7876712328767124,0.7894736842105263,0.7885714285714286,0.7856315179606026,0.7885714285714286,0.7870979532163742
path_a,Caminho A - Árvore de Decisão,6,7824,869,2.6734846479994303,0.7802071346375143,0.7762863534675615,0.7922374429223744,0.784180790960452,0.776084407971864,0.784180790960452,0.7801094407187278
path_a,Caminho A - Árvore de Decisão,7,7824,869,2.6813352959979966,0.7779056386651323,0.7704194260485652,0.7968036529680366,0.7833894500561167,0.7721369539551358,0.7833894500561167,0.7777521745118605
path_a,Caminho A - Árvore de Decisão,8,7824,869,2.724446133001038,0.766398158803222,0.7593818984547461,0.7853881278538812,0.7721661054994389,0.7603305785123967,0.7721661054994389,0.7662439479176598
path_a,Caminho A - Árvore de Decisão,9,7824,869,2.621845989000576,0.7802071346375143,0.7787810383747178,0.7876712328767124,0.7832009080590239,0.7771295215869312,0.7832009080590239,0.7801465213107459
path_a,Caminho A - Árvore de Decisão,10,7824,869,2.8194352300015453,0.762945914844649,0.7748815165876777,0.7465753424657534,0.7604651162790698,0.765375854214123,0.7604651162790698,0.7630788545275403
