experiment_id,experiment_label,fold,train_size,valid_size,fit_seconds,accuracy,precision,recall,f1,f1_class_0,f1_class_1,roc_auc
path_b,Caminho B - Floresta Aleatória,1,7823,870,4.171938202998717,0.7977011494252874,0.8032407407407407,0.7922374429223744,0.7977011494252874,0.7977011494252874,0.7977011494252874,0.8891108574327753
path_b,Caminho B - Floresta Aleatória,2,7823,870,4.273433556998498,0.8229885057471265,0.8271889400921659,0.819634703196347,0.823394495412844,0.8225806451612904,0.823394495412844,0.8936797099611027
path_b,Caminho B - Floresta Aleatória,3,7823,870,4.322384480001347,0.8080459770114943,0.8086560364464692,0.8105022831050228,0.8095781071835804,0.8064889918887601,0.8095781071835804,0.9059989641467951
path_b,Caminho B - Floresta Aleatória,4,7824,869,4.270393710001372,0.7640966628308401,0.7857142857142857,0.7299771167048055,0.7568208778173191,0.770949720670391,0.7568208778173191,0.8552366725993727
path_b,Caminho B - Floresta Aleatória,5,7824,869,4.502426673003356,0.807825086306099,0.8229665071770335,0.7871853546910755,0.8046783625730994,0.8108720271800679,0.8046783625730994,0.8966543774896177
path_b,Caminho B - Floresta Aleatória,6,7824,869,4.067004844000621,0.7963176064441887,0.7932584269662921,0.8059360730593608,0.7995469988674971,0.7929824561403509,0.7995469988674971,0.8805951964741655
path_b,Caminho B - Floresta Aleatória,7,7824,869,4.044869025994558,0.8020713463751439,0.8166666666666667,0.7831050228310502,0.7995337995337995,0.8045454545454546,0.7995337995337995,0.8910148428312621
path_b,Caminho B - Floresta Aleatória,8,7824,869,4.409897970996099,0.8055235903337169,0.806378132118451,0.8082191780821918,0.8072976054732041,0.8037166085946573,0.8072976054732041,0.8931178421214336
path_b,Caminho B - Floresta Aleatória,9,7824,869,4.098830663002445,0.7871116225546605,0.7990543735224587,0.771689497716895,0.7851335656213705,0.7890535917901939,0.7851335656213705,0.8881993664515991
path_b,Caminho B - Floresta Aleatória,10,7824,869,4.048300649999874,0.7963176064441887,0.8041958041958042,0.7876712328767124,0.7958477508650519,0.7967853042479908,0.7958477508650519,0.8758012056489634
