experiment_id,experiment_label,metric,cv_mean,cv_std,out_of_fold
path_b,Caminho B - Floresta Aleatória,accuracy,0.7987999153472746,0.014705115654482532,0.7988036351087081
path_b,Caminho B - Floresta Aleatória,precision,0.8067319913640368,0.012187776558951962,0.8067677946324388
path_b,Caminho B - Floresta Aleatória,recall,0.7896157905185835,0.02426292070174322,0.7896299680219279
path_b,Caminho B - Floresta Aleatória,f1,0.7979532712773054,0.016675399825946808,0.7981068913771211
path_b,Caminho B - Floresta Aleatória,f1_class_0,0.7995675949644445,0.013158288674248378,0.7994955863808323
path_b,Caminho B - Floresta Aleatória,f1_class_1,0.7979532712773054,0.016675399825946808,0.7981068913771211
path_b,Caminho B - Floresta Aleatória,roc_auc,0.8869409035157088,0.01316638093567546,0.8865849578663358
