experiment_id,experiment_label,fold,train_size,valid_size,fit_seconds,accuracy,precision,recall,f1,f1_class_0,f1_class_1,roc_auc
path_b,Caminho B - Floresta Aleatória,1,7823,870,3.995106148002378,0.7873563218390804,0.8077858880778589,0.7579908675799086,0.7820965842167256,0.792368125701459,0.7820965842167256,0.8766039869778454
path_b,Caminho B - Floresta Aleatória,2,7823,870,4.448939425998105,0.8218390804597702,0.8476658476658476,0.7876712328767124,0.8165680473372781,0.8268156424581006,0.8165680473372781,0.8848776002029427
path_b,Caminho B - Floresta Aleatória,3,7823,870,4.463148546001321,0.8137931034482758,0.8285714285714286,0.7945205479452054,0.8111888111888111,0.8163265306122449,0.8111888111888111,0.8881093565026213
path_b,Caminho B - Floresta Aleatória,4,7824,869,4.1905233720026445,0.7652474108170311,0.7934508816120907,0.7208237986270023,0.7553956834532374,0.7743362831858407,0.7553956834532374,0.8409081278074413
path_b,Caminho B - Floresta Aleatória,5,7824,869,4.133911548000469,0.8043728423475259,0.8312655086848635,0.7665903890160183,0.7976190476190477,0.8106904231625836,0.7976190476190477,0.886454890244936
path_b,Caminho B - Floresta Aleatória,6,7824,869,4.142559306001203,0.7894131185270425,0.8057553956834532,0.7671232876712328,0.7859649122807018,0.7927519818799547,0.7859649122807018,0.8677229338164406
path_b,Caminho B - Floresta Aleatória,7,7824,869,4.170879109002271,0.8055235903337169,0.8256658595641646,0.7785388127853882,0.8014101057579318,0.8094701240135288,0.8014101057579318,0.8879371536937567
path_b,Caminho B - Floresta Aleatória,8,7824,869,4.355797754000378,0.7905638665132336,0.80622009569378,0.769406392694064,0.7873831775700935,0.7936507936507936,0.7873831775700935,0.8751178633103434
path_b,Caminho B - Floresta Aleatória,9,7824,869,4.320206813998084,0.8043728423475259,0.835,0.7625570776255708,0.7971360381861575,0.8111111111111111,0.7971360381861575,0.8750860799457565
path_b,Caminho B - Floresta Aleatória,10,7824,869,4.094655974000489,0.7767548906789413,0.7990196078431373,0.7442922374429224,0.7706855791962175,0.7825112107623319,0.7706855791962175,0.8549274809564673
