experiment_id,experiment_label,fpr,tpr,threshold
path_c,Caminho C - Naive Bayes Gaussiano,0.0,0.0,inf
path_c,Caminho C - Naive Bayes Gaussiano,0.6801853997682503,0.7270443124714482,1.0
path_c,Caminho C - Naive Bayes Gaussiano,0.680648899188876,0.7270443124714482,0.999999999992724
path_c,Caminho C - Naive Bayes Gaussiano,0.6808806488991889,0.7270443124714482,0.9999999999708962
path_c,Caminho C - Naive Bayes Gaussiano,0.6808806488991889,0.7272727272727273,0.9999999986030161
path_c,Caminho C - Naive Bayes Gaussiano,0.6813441483198146,0.7272727272727273,0.9999999000574512
path_c,Caminho C - Naive Bayes Gaussiano,0.6813441483198146,0.7275011420740064,0.9999994802930345
path_c,Caminho C - Naive Bayes Gaussiano,0.6822711471610661,0.7275011420740064,0.9987715312600652
path_c,Caminho C - Naive Bayes Gaussiano,0.6822711471610661,0.7288716308816812,0.9972942562310324
path_c,Caminho C - Naive Bayes Gaussiano,0.6825028968713789,0.7288716308816812,0.9972368489541116
path_c,Caminho C - Naive Bayes Gaussiano,0.6825028968713789,0.7293284604842394,0.9896622552810428
path_c,Caminho C - Naive Bayes Gaussiano,0.6831981460023175,0.7293284604842394,0.966092830796227
path_c,Caminho C - Naive Bayes Gaussiano,0.6831981460023175,0.7295568752855185,0.958913614506862
path_c,Caminho C - Naive Bayes Gaussiano,0.6836616454229433,0.7295568752855185,0.9523313280200062
path_c,Caminho C - Naive Bayes Gaussiano,0.6836616454229433,0.7297852900867976,0.9159817294571209
path_c,Caminho C - Naive Bayes Gaussiano,0.6848203939745076,0.7297852900867976,0.7830712921778595
path_c,Caminho C - Naive Bayes Gaussiano,0.6848203939745076,0.7302421196893558,0.6850543877896305
path_c,Caminho C - Naive Bayes Gaussiano,0.6850521436848204,0.7302421196893558,0.67585969476203
path_c,Caminho C - Naive Bayes Gaussiano,0.6850521436848204,0.730470534490635,0.6399744953980537
path_c,Caminho C - Naive Bayes Gaussiano,0.6855156431054461,0.730470534490635,0.6274337853035433
path_c,Caminho C - Naive Bayes Gaussiano,0.6855156431054461,0.7309273640931933,0.5910171098702905
path_c,Caminho C - Naive Bayes Gaussiano,0.685747392815759,0.7309273640931933,0.5624374870280702
path_c,Caminho C - Naive Bayes Gaussiano,0.685747392815759,0.7311557788944724,0.5570807350152234
path_c,Caminho C - Naive Bayes Gaussiano,0.6859791425260718,0.7311557788944724,0.5469833233624802
path_c,Caminho C - Naive Bayes Gaussiano,0.6859791425260718,0.7313841936957515,0.5192662522881301
path_c,Caminho C - Naive Bayes Gaussiano,0.6862108922363847,0.7313841936957515,0.35567540481224974
path_c,Caminho C - Naive Bayes Gaussiano,0.6862108922363847,0.7316126084970306,0.27042834277098265
