experiment_id,experiment_label,fpr,tpr,threshold
path_b,Caminho B - Floresta Aleatória,0.0,0.0,inf
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.1368204659661946,1.0
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.13704888076747374,0.9998748748748748
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.1377341251713111,0.9998677248677248
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.13933302878026496,0.9998638344226579
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.1395614435815441,0.9998597081930415
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.1404751027866606,0.9998456790123457
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.14138876199177708,0.9998403575989783
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.14184559159433532,0.9998346560846562
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.1436729100045683,0.9998219373219372
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.14435815440840566,0.9998070987654322
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.14550022841480129,0.9997987117552335
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.14595705801735953,0.9997895622895622
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.148698035632709,0.9997741644083107
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.1496116948378255,0.9997685185185184
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.1498401096391046,0.9997631903002747
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15098218364550023,0.9997563352826511
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15121059844677937,0.9997427983539096
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15417999086340795,0.9997276688453159
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15486523526724533,0.9997194163860831
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15509365006852444,0.9997117080450414
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15577889447236182,0.9997106481481481
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15600730927364093,0.999709530959531
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.1566925536774783,0.9996913580246913
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15692096847875742,0.9996910147077
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.1578346276838739,0.9996693121693122
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15829145728643215,0.9996570644718793
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15897670169026953,0.9996438746438746
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.15943353129282778,0.9996345029239767
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.16034719049794427,0.9996296296296298
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.16057560529922338,0.9996296296296295
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.16103243490178162,0.9996290360873694
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.16240292370945636,0.9995782532014417
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.16331658291457288,0.9995711500974659
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.16423024211968937,0.999541510109143
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.16491548652352672,0.9995370370370369
path_b,Caminho B - Floresta Aleatória,0.0006952491309385864,0.1658291457286432,0.9995039682539683
